"model","subject","dNew.L","dOld.W","dOld.S","gOld","mu.do","mu.g","mu.dn","sigma","nu"
"unyoked","101",0.907433988470837,0.590486500138925,0.960270197850077,0.502640890151938,0.432766782394514,0.470671635869714,0.558452232190493,0.0577315952038871,0.248917886192054
"unyoked","102",0.810687937330575,0.499201214136115,0.799387144824292,0.689594888744761,0.524894700967728,0.514779519109535,0.698745679821224,0.069602124147568,0.388893863368758
"unyoked","103",1,0.705096642238631,1,0.59152968357572,0.447219720840248,0.472121626209335,0.526152698944787,0.0513878898486224,0.164091075347481
"unyoked","104",0.624828713010897,0.581750379063718,0.965414336804221,0.32171770210417,0.48275185764911,0.552966874075913,0.548284997249434,0.01,0.5
"unyoked","105",0.802669100460723,0.178255167200478,0.673989836915989,0.864661525409924,0.428898295637721,0.368280530562641,0.582593625882812,0.0802360647840104,0.195351417195974
"unyoked","106",0.859417331362786,0.809165414890459,1,0.448015196051373,0.460863206768858,0.500638764109604,0.571178939271951,0.0837626116096199,0.416801797535378
"unyoked","107",0.862045281251995,0.636387468258727,1,0.382562918720064,0.551176912204927,0.647479732638362,0.633367254689817,0.0777624309957419,0.322522787331515
"unyoked","108",0.938849324414411,0.871902568956607,1,0.355928205674398,0.46919249144106,0.520050422568633,0.482540808907934,0.0465097600112117,0.198297742308498
"unyoked","109",0.564877938090993,0.904141457292959,1,0.173448368774283,0.465301662288131,0.614650039442708,0.54435100183875,0.0535318439608955,0.183472199844989
"unyoked","110",1,0.436953394575443,0.999218757750818,0.495016060510578,0.471934671462854,0.479436894372141,0.58206502450908,0.0763792439996924,0.195566794091372
"unyoked","111",1,0.582035660677664,1,0.437546527372713,0.463600567298658,0.513107686256794,0.61180274475794,0.0278184939875747,0.197609238094754
"unyoked","112",0.969372086062739,0.609259161058908,1,0.616283947083482,0.503313117592357,0.570486066501939,0.680095732820662,0.0474214122715352,0.392143608468415
"unyoked","113",0.961212778204707,0.824975381971233,1,0.232773118168286,0.564718677879093,0.643480132493379,0.595459023256066,0.0496166230410225,0.280332882623201
"unyoked","114",0.648723715227333,0.531872371162197,1,0.477888051441747,0.449250628497609,0.486572540570932,0.597211522709802,0.0940221566647955,0.236068231412288
"yoked","101",0.271480200470754,0.603592814473609,0.948070114892165,0.41217958095731,0.458633975212665,0.502010893993805,NA,0.0708665953618912,0.183273312238625
"yoked","102",0.781366851035863,0.3484041595487,0.805978156543216,0.732074655758305,0.649274946701456,0.500469400383707,NA,0.0712302099145863,0.379197882548135
"yoked","103",1,0.772442520465601,1,0.665053202488103,0.492008092057406,0.461073326368508,NA,0.054067962877729,0.173590145486707
"yoked","104",0.543095156395275,0.636262689961918,0.981585602452615,0.295327448814544,0.491655735648591,0.567333285282502,NA,0.0296369261935814,0.5
"yoked","105",0.78285164596664,0.01,0.877371771003398,0.873698837153782,0.572693740067358,0.360741839191151,NA,0.0745476684001343,0.191792200608504
"yoked","106",0.808765346551206,0.856143580100232,1,0.468466617011651,0.507686241359965,0.513647585621135,NA,0.0968670553283697,0.404554567523129
"yoked","107",0.667648428659705,0.674413914149291,1,0.350820694780768,0.584123520325684,0.667856546908038,NA,0.0869529062055624,0.28395647034339
"yoked","108",0.916851299489408,0.884544774045588,1,0.351688586586166,0.474321644799889,0.520502096132741,NA,0.0456912720825005,0.197472496996232
"yoked","109",0.213941794737723,0.906517688475744,1,0.133703387137841,0.469429590802378,0.591540286395401,NA,0.0431627975827278,0.176697960626416
"yoked","110",1,0.412534475364483,1,0.563896673460615,0.541573493772781,0.47153529177928,NA,0.0806402215388504,0.199422788045674
"yoked","111",0.01,0.578127696988222,1,0.295098286729193,0.476469745629087,0.54645451859743,NA,0.0451437660222201,0.128446595763559
"yoked","112",0.126875512271958,0.608986837382302,1,0.440105323204384,0.526251304835683,0.621147210979752,NA,0.0699751707975761,0.265648306074364
"yoked","113",0.917187873130432,0.845027939176077,1,0.220197094750103,0.578021336057877,0.649252715246691,NA,0.0508013905680134,0.272722317815577
"yoked","114",0.0868909231216735,0.538675065271087,1,0.407341429827206,0.469037375685475,0.506732781252908,NA,0.100313472393254,0.186008738213746
"yoked_fixed","101",0.414162710071379,0.372171009185199,0.843507044043897,0.475309467376395,0.465834519262035,0.499301091845937,NA,0.0730559680006656,0.182228957958028
"yoked_fixed","102",0.23616661149798,0.269472720142119,0.64721996515146,0.649147804573872,0.568288528960894,0.541191301360876,NA,0.0910258262186934,0.300352154204636
"yoked_fixed","103",0.415751317063672,0.541198420065104,0.87223392125959,0.517416549669725,0.47810347911069,0.502750051935649,NA,0.0649887560585399,0.100778624021918
"yoked_fixed","104",0.678128289378166,0.474514475310406,0.825654981136653,0.370376923877535,0.491056617082972,0.566006089304416,NA,0.0301138834151421,0.5
"yoked_fixed","105",0.122576993207194,0.129939010490616,0.701584153900583,0.806786135843795,1.75281287123193,0.38742487023728,NA,0.0901104276603369,0.140595703001687
"yoked_fixed","106",0.454389760789716,0.433851067727261,0.909163093046222,0.431138967402075,0.495427783162781,0.535380617917581,NA,0.101190858669842,0.310009563978789
"yoked_fixed","107",0.531954030627615,0.360989122468588,0.762884009191484,0.394716723759203,0.577718293742669,0.681678677340409,NA,0.0902323656108507,0.221763206725978
"yoked_fixed","108",0.793889783748468,0.719732644465529,0.976509093150058,0.344920122612632,0.475092643094998,0.528345104801643,NA,0.047867865566256,0.170249651017533
"yoked_fixed","109",0.780488653331302,0.672321150860384,0.964971640821063,0.264434281595401,0.4835459588627,0.631901154663181,NA,0.0604337840862562,0.192778837966459
"yoked_fixed","110",0.614141918305063,0.236383024380355,0.847637138301746,0.516313667311185,0.528182855849072,0.493318889717019,NA,0.0866223082372905,0.154830946813039
"yoked_fixed","111",0.384214640240584,0.480367054790967,0.891521535004035,0.366092833096912,0.483763733423618,0.553479241967627,NA,0.050197081049888,0.136399360018719
"yoked_fixed","112",0.459168524233408,0.395784030876186,0.894233753842689,0.550636907774642,0.539310116910074,0.613715126895303,NA,0.0749508485176313,0.287704751088374
"yoked_fixed","113",0.840323784013372,0.568872837931972,0.975832997833964,0.276202644225326,0.578540650222881,0.656457837377303,NA,0.0530575111522059,0.238785718298031
"yoked_fixed","114",0.425436361611602,0.278270139273643,0.629519467395581,0.525414976832178,0.491537955627749,0.493819700350404,NA,0.101247628451347,0.197096959699068
