"model","subject","dNew.L","dOld.W","dOld.S","gOld","gC","gN","gL","mu.do","mu.g","mu.dn","sigma","nu"
"yoked","101",0.195205555710364,0.517709221751891,0.891559315597165,0.410180490493768,0.124760871274715,0.257837679259454,0.497067299010329,0.45302359576508,0.502914257934868,NA,0.0699670131518737,0.172589889699304
"yoked","102",0.416535982159242,0.151626911088194,0.603477337320537,0.694890533305897,0.431723182031281,0.664954602255554,0.757676065259727,0.631930933962842,0.518730509239924,NA,0.0805214887187211,0.319516451101154
"yoked","103",0.368430232062954,0.634579098091894,0.927281187460965,0.490597434691479,0.172932469610278,0.405842254103295,0.772839464166272,0.477275927787755,0.504478214121735,NA,0.0651520183922955,0.100719308426005
"yoked","104",0.56885910589224,0.585616109614432,0.893072315217107,0.322343631372028,0.094903317484472,0.319789575902429,0.546464938285999,0.490243504741867,0.5660948141032,NA,0.0288560399123653,0.5
"yoked","105",0.253004233969185,0.01,0.656595470402382,0.836480251334337,0.14015323828918,0.889598265945775,0.974976846073064,0.545604838270046,0.371327785045591,NA,0.0804897897394765,0.171385185958687
"yoked","106",0.527270598441227,0.55443765471137,0.944464776846785,0.42967085893824,0.218481003192774,0.384073212661702,0.515594546468741,0.499046686240868,0.534449122049302,NA,0.101659587065379,0.327211818951613
"yoked","107",0.499800397509136,0.477293767408174,0.853138394113416,0.362298424474914,0.105191878148577,0.421004778343183,0.679677628250121,0.577729480310929,0.678314396489617,NA,0.0881880613731127,0.233419612466882
"yoked","108",0.807651748201842,0.784399240272934,0.99712477902669,0.330235706152909,0.128844188133657,0.222327593543937,0.573551244635493,0.475112909650704,0.527704752421183,NA,0.0477499239110281,0.174970055338269
"yoked","109",0.207555108316934,0.829353552684687,0.989455640480402,0.146453597021709,0.058813985342631,0.0687218815575014,0.150635458710262,0.469436539242016,0.593476877813439,NA,0.043844801108696,0.169758104668853
"yoked","110",0.688284002831437,0.25133661545246,0.870880176343418,0.527650738634372,0.235426049027668,0.46227547234316,0.54973086742033,0.532052158609593,0.488973502176336,NA,0.0855632923077306,0.162630668153027
"yoked","111",0.01,0.582197047230541,0.941591755987214,0.299732300104024,0.0779291227840831,0.172720297588945,0.449574005012037,0.476116910792682,0.54784916886355,NA,0.0458220280366329,0.125055559405717
"yoked","112",0.115170379789397,0.597468641170617,0.952039124539157,0.444474352246572,0.258799472238904,0.28214740018734,0.322461507250243,0.525018966278743,0.621617809068345,NA,0.0700501172886703,0.260002609748296
"yoked","113",0.828987333471113,0.702468698286394,0.993754407705213,0.232892127969326,0.0929290139113077,0.375502720778472,0.39943170119044,0.578468266472657,0.654841324451942,NA,0.0524752997991003,0.246464544861569
"yoked","114",0.116323639596481,0.455492204682139,0.792608036602143,0.433408779281245,0.10427167058048,0.261724222603189,0.638334592601999,0.459396353638116,0.508109967278534,NA,0.0990240419790454,0.178465724742034
"unyoked","101",0.560913337122563,0.414521100426734,0.863985488517956,0.470122133010797,0.22076495646419,0.453361908677463,0.64587703400012,0.434184980413665,0.484253774633025,0.562033964750857,0.0628230661782675,0.202003800076287
"unyoked","102",0.39689195734956,0.268118645510751,0.617943815552198,0.659120110025336,0.404213998739187,0.635192257592233,0.732697228979934,0.516792994801842,0.532597599243852,0.69895650235703,0.077602059842131,0.31761218466756
"unyoked","103",0.544284882445545,0.564576180735552,0.908790392261028,0.514218983471114,0.237697467103209,0.538126303838739,0.843118965451381,0.453425179087619,0.490012415618842,0.529416676018454,0.0576209521567705,0.119393812792444
"unyoked","104",0.641917196888213,0.542226159988168,0.880355754167415,0.34509239998433,0.115789482752306,0.380585405685078,0.612455792274787,0.478525939587917,0.557003578427961,0.544801084356014,0.024346740433804,0.5
"unyoked","105",0.248248650094447,0.0390010373490543,0.63215778077673,0.826031214811638,0.136884492219505,0.887187209509584,0.974875269406895,0.429888782764394,0.379142187323103,0.56666866125321,0.0848615539756183,0.17033262572117
"unyoked","106",0.60849885056874,0.512655289687874,0.938616627615412,0.433549172203142,0.261476491491201,0.446256339835501,0.562772369699255,0.459918499398685,0.517706482015543,0.57368193091202,0.0902024065933373,0.346139779017256
"unyoked","107",0.587693367794116,0.429795479956068,0.835684675623494,0.382613682445415,0.128840410234438,0.480206841862122,0.724854189718634,0.55207313760936,0.668143641664776,0.626047529926943,0.084319976194787,0.246239033877884
"unyoked","108",0.823408110622583,0.776908684186833,0.997053438010187,0.333185069295211,0.140026449310526,0.244127981412275,0.593976138775551,0.471168838028719,0.527392327551558,0.481972047080072,0.0484430301197099,0.175546384578232
"unyoked","109",0.532290191960845,0.817403631209851,0.988883006755089,0.187208936272059,0.0990241668753205,0.113297451798752,0.242974287355616,0.466240641338937,0.619249715670427,0.543731573900663,0.0547625115405103,0.171089963959984
"unyoked","110",0.709813307304066,0.260973619844308,0.85556080511878,0.483700589089009,0.247132687215593,0.473283681140529,0.556103640768628,0.468247995528199,0.490098506750617,0.583240911842176,0.0789637208341509,0.163024023253699
"unyoked","111",0.5721222091757,0.49526457518804,0.929270512785821,0.38113227820423,0.176381917257773,0.368061516847727,0.677305599651661,0.466439432153742,0.525060550148748,0.625237059379278,0.0332918101021569,0.161146245405139
"unyoked","112",0.587630602105861,0.45263832208395,0.933410997076255,0.551732333078394,0.519746903465701,0.524659340706636,0.560371264707241,0.506294919209866,0.588746440903695,0.688432744167438,0.0556728248105078,0.317546112414256
"unyoked","113",0.856921915841951,0.681894022870439,0.993383223337214,0.242714042917867,0.11053275989091,0.432272949809075,0.437813255943531,0.56621537842273,0.650410668847071,0.594757738205491,0.0516471811262992,0.250778977799138
"unyoked","114",0.40796785759432,0.370514531352816,0.756135539520001,0.47577344896502,0.152038848234824,0.380455120608932,0.7606659117971,0.438929807978994,0.495297554456846,0.594501581185007,0.0945366884537311,0.200267083087077
